user_id,message,actionable,updated_at,id,response,created_at
7,پالک کی فصل کو کب پانی لگتا ہے؟,true,2025-01-31 10:34:58.510116,1,"Water spinach early in the morning or late afternoon to minimize water loss and keep the soil consistently moist. Pay special attention to watering during dry spells, as spinach prefers evenly moist soil for optimal growth.",2025-01-31 10:34:58.510097
2,اسلام علیکم یار مجھے یہ بتاؤ میری فصل کے اندر حالات کیا چل رہے ہیں؟ کیا صورتحال ہے؟ کیا چل رہا ہے؟,false,2025-02-14 12:20:47.271242,2,وعلیکم السلام! آپ کی فصل کی موجودہ ریڈنگز کے مطابق، سب کچھ مناسب نظر آ رہا ہے۔ مٹی کی pH تقریباً 6.7 ہے، جو ایلو ویرا کے لیے اچھا ہے، جبکہ درجہ حرارت 16-17°C کے درمیان ہے۔ نائٹروجن اور پوٹاشیم کی سطح بھی معتدل ہیں، بس اس بات کا دھیان رکھیں کہ موسمی حالات کے مطابق فصل کو دیکھ بھال ملے۔,2025-02-14 12:20:47.271234
2,ओ यारा मेरी फसल देकी हाल चल रहा है कि सब कुछ सह जाएगा,true,2025-02-18 08:56:00.410204,3,آپ کی فصل کے موجودہ حالات اچھے نظر آ رہے ہیں۔ مٹی کی pH 5.8 ہے، جو ایلو ویرا کے لیے مناسب ہے، اور درجہ حرارت بھی فصل کی بڑھوتری کے لحاظ سے ٹھیک ہے۔ نائٹروجن کی سطح کو مزید بہتر بنانے سے پیداوار میں بہتری آ سکتی ہے، لہذا اس پر توجہ دینا فائدہ مند ہوگا۔,2025-02-18 08:56:00.410189
3,hello,false,2025-03-05 14:33:55.579101,4,Hello! How can I assist you today?,2025-03-05 14:33:55.579081
3,hello,false,2025-03-06 05:51:35.155122,5,"Hello! If you have any questions or need help with something, feel free to ask!",2025-03-06 05:51:35.155103
7,hello,false,2025-03-06 07:41:24.203422,6,Hello! How can I assist you with your agricultural needs today?,2025-03-06 07:41:24.203410
6,Hello,false,2025-03-06 07:47:51.832733,7,Hello! How can I assist you with your spinach farming today?,2025-03-06 07:47:51.832720
6,Hello,false,2025-03-06 07:48:06.933366,8,Hi again! Do you need any assistance with your spinach crop or something else on your farm?,2025-03-06 07:48:06.933347
6,Hello,false,2025-03-06 07:48:43.517680,9,"Hi there! If you have any questions or need advice about farming, feel free to ask.",2025-03-06 07:48:43.517661
6,Hello,false,2025-03-06 07:50:05.801458,10,Hello! How can I assist you today with your farming needs?,2025-03-06 07:50:05.801441
6,Hello,false,2025-03-06 07:50:25.375658,11,"Hi! If you have any questions or need help with your spinach farming, just let me know!",2025-03-06 07:50:25.375642
6,Hello,false,2025-03-06 07:51:08.362014,12,Hello! How can I help you today?,2025-03-06 07:51:08.361995
3,hello,false,2025-03-06 07:52:37.223063,13,Hello! How can I assist you today?,2025-03-06 07:52:37.223048
6,Hello,false,2025-03-06 07:54:30.428945,14,"Hi! If there's anything you need regarding farming or your spinach crop, feel free to ask!",2025-03-06 07:54:30.428928
6,Hello,false,2025-03-06 07:54:49.970594,15,"Hello! How can I assist you today? If you have questions about your farm or crops, I'm here to help.",2025-03-06 07:54:49.970575
6,Hello,false,2025-03-06 07:55:28.877359,16,"Hello! If there's anything you'd like to discuss or inquire about regarding your farming, please let me know.",2025-03-06 07:55:28.877344
6,Hello,false,2025-03-06 07:55:41.761096,17,"Hi there! If you need any help or information about your spinach farm, feel free to ask.",2025-03-06 07:55:41.761077
6,Hello,false,2025-03-06 07:57:39.548720,18,Hello! How can I assist you with your farming questions today?,2025-03-06 07:57:39.548708
6,Hello,false,2025-03-06 08:02:05.459692,19,Hi! Let me know if there's anything you'd like help with regarding your spinach farming.,2025-03-06 08:02:05.459678
6,Hello,false,2025-03-06 09:35:32.620319,20,"Hello! If you have any questions or need advice on your spinach farm, just let me know!",2025-03-06 09:35:32.620306
7,آج رات موسم کیسا رہے گا؟,false,2025-03-06 09:41:19.286423,21,"Tonight, the weather will be clear with a temperature of around 14.0°C, wind speeds of 6.8 kph, and a humidity level of 44%.",2025-03-06 09:41:19.286404
