id,translated_message,response,created_at,message,user_id,rag_message,translated_response,updated_at
1,When is the spinach crop watered?,"Water spinach early in the morning or late afternoon to minimize water loss and keep the soil consistently moist. Pay special attention to watering during dry spells, as spinach prefers evenly moist soil for optimal growth.",2025-01-31 10:34:59.952104,پالک کی فصل کو کب پانی لگتا ہے؟,7,"For green pea: 
What are the optimal watering schedules for spinach crops to ensure healthy growth?",آپ کے پاس اکتوبر 2023 تک کے ڈیٹا کی تربیت ہے۔,2025-01-31 10:34:59.952115
2,اسلام علیکم یار مجھے یہ بتاؤ میری فصل کے اندر حالات کیا چل رہے ہیں؟ کیا صورتحال ہے؟ کیا چل رہا ہے؟,وعلیکم السلام! آپ کی فصل کی موجودہ ریڈنگز کے مطابق، سب کچھ مناسب نظر آ رہا ہے۔ مٹی کی pH تقریباً 6.7 ہے، جو ایلو ویرا کے لیے اچھا ہے، جبکہ درجہ حرارت 16-17°C کے درمیان ہے۔ نائٹروجن اور پوٹاشیم کی سطح بھی معتدل ہیں، بس اس بات کا دھیان رکھیں کہ موسمی حالات کے مطابق فصل کو دیکھ بھال ملے۔,2025-02-14 12:20:47.353050,اسلام علیکم یار مجھے یہ بتاؤ میری فصل کے اندر حالات کیا چل رہے ہیں؟ کیا صورتحال ہے؟ کیا چل رہا ہے؟,2,"For Sugarcane: 
وعلیکم السلام، کیا آپ اپنی فصل کی نشوونما، بیماریوں، یا موسمی حالات کے بارے میں جانکاری حاصل کرنا چاہتے ہیں؟ مزید معلومات فراہم کریں تاکہ میں آپ کی بہتر رہنمائی کر سکوں۔",وعلیکم السلام! آپ کی فصل کی موجودہ ریڈنگز کے مطابق، سب کچھ مناسب نظر آ رہا ہے۔ مٹی کی pH تقریباً 6.7 ہے، جو ایلو ویرا کے لیے اچھا ہے، جبکہ درجہ حرارت 16-17°C کے درمیان ہے۔ نائٹروجن اور پوٹاشیم کی سطح بھی معتدل ہیں، بس اس بات کا دھیان رکھیں کہ موسمی حالات کے مطابق فصل کو دیکھ بھال ملے۔,2025-02-14 12:20:47.353058
3,ओ यारा मेरी फसल देकी हाल चल रहा है कि सब कुछ सह जाएगा,آپ کی فصل کے موجودہ حالات اچھے نظر آ رہے ہیں۔ مٹی کی pH 5.8 ہے، جو ایلو ویرا کے لیے مناسب ہے، اور درجہ حرارت بھی فصل کی بڑھوتری کے لحاظ سے ٹھیک ہے۔ نائٹروجن کی سطح کو مزید بہتر بنانے سے پیداوار میں بہتری آ سکتی ہے، لہذا اس پر توجہ دینا فائدہ مند ہوگا۔,2025-02-18 08:56:00.477821,ओ यारा मेरी फसल देकी हाल चल रहा है कि सब कुछ सह जाएगा,2,"For Sugarcane: 
क्या मेरी फसल की वर्तमान स्थिति को सुधारने के लिए कोई उपाय या सुझाव दे सकते हैं?",آپ کی فصل کے موجودہ حالات اچھے نظر آ رہے ہیں۔ مٹی کی pH 5.8 ہے، جو ایلو ویرا کے لیے مناسب ہے، اور درجہ حرارت بھی فصل کی بڑھوتری کے لحاظ سے ٹھیک ہے۔ نائٹروجن کی سطح کو مزید بہتر بنانے سے پیداوار میں بہتری آ سکتی ہے، لہذا اس پر توجہ دینا فائدہ مند ہوگا۔,2025-02-18 08:56:00.477830
4,hello,Hello! How can I assist you today?,2025-03-05 14:33:56.861879,hello,3,"For Sugarcane: 
Hello! How may I assist you with your agriculture-related inquiry?",آپ اکتوبر 2023 تک کے ڈیٹا پر تربیت یافتہ ہیں۔,2025-03-05 14:33:56.861891
5,hello,"Hello! If you have any questions or need help with something, feel free to ask!",2025-03-06 05:51:36.662613,hello,3,"For Sugarcane: 
Hello! How can I assist you with your agriculture-related inquiry today?",ہیلو! اگر آپ کے کوئی سوالات ہیں یا کسی چیز میں مدد چاہیے تو بلا جھجھک پوچھیں!,2025-03-06 05:51:36.662634
6,hello,Hello! How can I assist you with your agricultural needs today?,2025-03-06 07:41:25.576128,hello,7,"For spinach: 
Hello! How may I assist you with your agriculture-related inquiry?",ہیلو! آج آپ کی زرعی ضروریات میں میں آپ کی کس طرح مدد کر سکتا ہوں؟,2025-03-06 07:41:25.576144
7,Hello,Hello! How can I assist you with your spinach farming today?,2025-03-06 07:47:53.123088,Hello,6,"For spinach: 
Greetings! How may I assist you with your agriculture-related queries today?",ہیلو! آج میں آپ کی پالک کی کاشت کاری میں کیسے مدد کر سکتا ہوں؟,2025-03-06 07:47:53.123102
8,Hello,Hi again! Do you need any assistance with your spinach crop or something else on your farm?,2025-03-06 07:48:08.296723,Hello,6,"For spinach: 
Hello! How can I assist you with your agriculture-related inquiry?",ہیلو دوبارہ! کیا آپ کو اپنے پالک کی فصل یا اپنی کھیت کے کسی اور معاملے میں مدد کی ضرورت ہے؟,2025-03-06 07:48:08.296738
9,Hello,"Hi there! If you have any questions or need advice about farming, feel free to ask.",2025-03-06 07:48:44.605989,Hello,6,"For spinach: 
Hello! How may I assist you with your agriculture-related inquiry today?",آپ اکتوبر 2023 تک کے ڈیٹا پر تربیت یافتہ ہیں۔,2025-03-06 07:48:44.606003
10,Hello,Hello! How can I assist you today with your farming needs?,2025-03-06 07:50:07.354913,Hello,6,"For spinach: 
Hello! How may I assist you with your agriculture-related inquiry today?",ہیلو! آج میں آپ کی زراعت کی ضروریات کے سلسلے میں کس طرح مدد کر سکتا ہوں؟,2025-03-06 07:50:07.354928
