id,number,year,make,model,vin,metric_units,front_facing_enhanced_url,front_facing_enhanced_ai_viz_url,dual_facing_enhanced_url,dual_facing_enhanced_ai_viz_url,front_facing_plain_url,driver_facing_plain_url,events
1243160,895,2013,KENWORTH,W9 Series,1XKWD40X0DJ963262,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2957431874/mp4-front_facing-2922f152-4fbd-4a77-b69e-277fb5dd8a5a.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240608-044330-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=2f84a52f99b2e4e5cb27cc99a794daa9a5b551022b116ee55057e5a6a3fb609f,,hard_brake
1179255,880,,Kenworth,880,1XKZD40XXLJ960865,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2963448202/mp4-front_facing-5038624a-0206-4225-a806-2948e91a6e30.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240624-203848-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=fae62a1c039995637947660abc5cd90217b150e8448bae4055b788dd2056ddf7,,hard_brake
1179254,6522,2019,Peterbilt,389,1NPXD49X0KD274815,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2963761971/mp4-front_facing-33b48952-adb2-45d3-9692-13c3bcef2e65.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240625-160427-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=f27d11a85132b9815c59394d1e39f81020635e7b3a1f97649fd9fcb50379447c,,hard_brake
1179250,890,,Peterbilt,389,1XPXD49X3ED241057,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2966894549/mp4-front_facing-5a2d5472-a53b-4e18-b9cb-556985ec66b2.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240703-142136-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=e49413ea0b42e52c473efb14643e84a29e7621aa0cd0a769ebcddd7bc0ccae41,,hard_brake
1179254,6522,2019,Peterbilt,389,1NPXD49X0KD274815,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2968408167/mp4-front_facing-b28a2ab6-d6b9-420a-bcc7-8632903f46ff.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240709-004455-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=ab8be5eac2fe545c431001d5d32c4538a04ae40c1990716b8e37a46abcbfb8ec,,hard_brake
1179255,880,,Kenworth,880,1XKZD40XXLJ960865,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2973080560/mp4-front_facing-afdabcf6-7b41-44c7-8187-89f3a5b5f8c8.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240719-215759-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=378dfd337753fa04afbfd614e006a95db59b0adfaec35efd3571ea1dfb73fc7e,,hard_brake
1179255,880,,Kenworth,880,1XKZD40XXLJ960865,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2973377381/mp4-front_facing-683b96b5-73c0-4308-a893-54e367faf24c.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240721-080453-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=d31593e5a40021713a854f0cf7a98aa6c1070c0e2290584bf7162c812ed95e3a,,hard_brake
1520146,605,2018,KENWORTH,W9 Series,1XKWD40X2JJ994864,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2987158513/mp4-front_facing-6b280ace-b85e-4193-beb4-180b983af4a2.mp4?response-content-disposition=attachment%3B%20filename%3DHard_brake-Unidentified-20240826-230550-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094912Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=ccaa8efb21018a22caddf8ef5ce1cb643df410ef5e3c9135ae17de4c7a30f52d,,hard_brake
1564117,600,2015,MACK,CXU,1M1AW07Y4FM050867,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2974894693/mp4-front_facing-e711ef82-6282-498e-aaff-9268ed9fc1ff.mp4?response-content-disposition=attachment%3B%20filename%3DHard_corner-Unidentified-20240724-232157-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094913Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=c2f0540d9b0268c9497d9aa5b7787aa27bf4ff30ff1a64c91f636772c1a7f6ce,,hard_corner
1179255,880,,Kenworth,880,1XKZD40XXLJ960865,True,,,,,https://keep-truckin-production.s3.amazonaws.com/uploads/camera_media/media/2964688107/mp4-front_facing-dc334065-811d-4658-b285-b236efd3a019.mp4?response-content-disposition=attachment%3B%20filename%3DDriver_capture-Unidentified-20240627-141438-front_facing.mp4&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA5S2T6Q3NMVPEPWE2%2F20240830%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240830T094915Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=37708200dac8f52595ffeb248971e44b73fea14475b86be3ba77b2f55cec1a03,,manual_event
