pH,user_id,phosphorus,temperature,conductivity,created_at,id,nitrogen,potassium,moisture,battery,updated_at
6.7,1,76.0,18.0,247.0,2025-01-31 09:30:32.395522,1,13.0,68.0,21.4,100.0,2025-01-31 09:30:32.395571
6.7,1,75.0,18.0,246.0,2025-01-31 09:31:29.809506,2,12.0,68.0,20.9,100.0,2025-01-31 09:31:29.809513
6.7,1,75.0,18.0,246.0,2025-01-31 09:32:31.127060,3,12.0,68.0,20.9,100.0,2025-01-31 09:32:31.127079
7.9,1,17.0,19.1,125.0,2025-01-31 09:36:35.214503,4,0.0,9.0,9.8,100.0,2025-01-31 09:36:35.214512
7.9,1,17.0,19.1,125.0,2025-01-31 09:37:36.137910,5,0.0,9.0,9.4,100.0,2025-01-31 09:37:36.137919
7.8,1,17.0,19.200001,124.0,2025-01-31 09:43:43.970885,6,0.0,9.0,11.1,100.0,2025-01-31 09:43:43.970893
7.2,1,230.0,19.6,566.0,2025-01-31 09:47:46.864066,7,79.0,223.0,31.700001,100.0,2025-01-31 09:47:46.864075
7.3,1,230.0,19.6,567.0,2025-01-31 09:48:47.953258,8,79.0,224.0,29.4,100.0,2025-01-31 09:48:47.953266
0.0,1,0.0,0.0,0.0,2025-01-31 09:54:45.854169,9,0.0,0.0,0.0,100.0,2025-01-31 09:54:45.854180
4.0,1,303.0,19.5,718.0,2025-01-31 09:54:52.752689,10,111.0,297.0,34.700001,100.0,2025-01-31 09:54:52.752697
7.2,1,303.0,19.5,717.0,2025-01-31 09:54:59.545947,11,111.0,297.0,33.200001,100.0,2025-01-31 09:54:59.545957
7.2,1,303.0,19.5,718.0,2025-01-31 09:55:09.935860,12,111.0,297.0,33.799999,100.0,2025-01-31 09:55:09.935867
7.2,1,303.0,19.5,718.0,2025-01-31 09:55:18.568146,13,111.0,297.0,34.700001,100.0,2025-01-31 09:55:18.568154
7.3,1,304.0,19.5,719.0,2025-01-31 09:55:28.209614,14,111.0,298.0,33.799999,100.0,2025-01-31 09:55:28.209623
7.3,1,304.0,19.5,720.0,2025-01-31 09:55:35.465256,15,111.0,298.0,31.700001,100.0,2025-01-31 09:55:35.465264
7.3,1,304.0,19.6,720.0,2025-01-31 09:55:42.347796,16,111.0,298.0,33.200001,100.0,2025-01-31 09:55:42.347803
7.3,1,305.0,19.5,721.0,2025-01-31 09:55:49.340042,17,112.0,299.0,33.200001,100.0,2025-01-31 09:55:49.340050
7.3,1,304.0,19.5,721.0,2025-01-31 09:55:56.473765,18,112.0,299.0,32.099998,100.0,2025-01-31 09:55:56.473773
7.3,1,305.0,19.5,722.0,2025-01-31 09:56:05.581391,19,112.0,299.0,32.099998,100.0,2025-01-31 09:56:05.581399
7.3,1,305.0,19.5,723.0,2025-01-31 09:56:12.672655,20,112.0,300.0,35.200001,100.0,2025-01-31 09:56:12.672663
7.3,1,305.0,19.5,723.0,2025-01-31 09:56:22.282679,21,112.0,300.0,34.400002,100.0,2025-01-31 09:56:22.282687
7.3,1,305.0,19.5,723.0,2025-01-31 09:56:30.147125,22,112.0,300.0,31.700001,100.0,2025-01-31 09:56:30.147134
7.4,1,306.0,19.5,724.0,2025-01-31 09:56:41.804312,23,112.0,300.0,32.599998,100.0,2025-01-31 09:56:41.804320
7.4,1,306.0,19.5,724.0,2025-01-31 09:56:52.794191,24,112.0,300.0,34.299999,100.0,2025-01-31 09:56:52.794200
7.4,1,306.0,19.5,725.0,2025-01-31 09:57:03.406609,25,112.0,301.0,31.700001,100.0,2025-01-31 09:57:03.406618
7.4,1,306.0,19.5,725.0,2025-01-31 09:57:11.342923,26,112.0,301.0,33.099998,100.0,2025-01-31 09:57:11.342930
7.4,1,306.0,19.5,725.0,2025-01-31 09:57:23.690774,27,112.0,301.0,33.200001,100.0,2025-01-31 09:57:23.690783
7.4,1,307.0,19.5,726.0,2025-01-31 09:57:30.721436,28,113.0,301.0,33.299999,100.0,2025-01-31 09:57:30.721445
7.4,1,307.0,19.5,726.0,2025-01-31 09:57:37.755755,29,113.0,301.0,31.700001,100.0,2025-01-31 09:57:37.755762
7.4,1,307.0,19.5,727.0,2025-01-31 09:57:47.372642,30,113.0,302.0,35.799999,100.0,2025-01-31 09:57:47.372648
7.4,1,307.0,19.5,727.0,2025-01-31 09:57:56.192990,31,113.0,302.0,31.5,100.0,2025-01-31 09:57:56.192998
7.4,1,308.0,19.5,728.0,2025-01-31 09:58:05.126882,32,113.0,302.0,33.200001,100.0,2025-01-31 09:58:05.126890
7.4,1,307.0,19.5,728.0,2025-01-31 09:58:13.389271,33,113.0,302.0,31.700001,100.0,2025-01-31 09:58:13.389279
7.4,1,308.0,19.5,728.0,2025-01-31 09:58:20.794674,34,113.0,302.0,34.700001,100.0,2025-01-31 09:58:20.794681
7.4,1,308.0,19.5,729.0,2025-01-31 09:58:32.812940,35,113.0,303.0,34.700001,100.0,2025-01-31 09:58:32.812947
7.4,1,308.0,19.5,728.0,2025-01-31 09:58:42.861471,36,113.0,302.0,34.700001,100.0,2025-01-31 09:58:42.861478
7.4,1,308.0,19.5,728.0,2025-01-31 09:58:50.553553,37,113.0,302.0,31.700001,100.0,2025-01-31 09:58:50.553566
7.4,1,308.0,19.5,729.0,2025-01-31 09:58:58.185442,38,113.0,303.0,33.400002,100.0,2025-01-31 09:58:58.185449
7.4,1,308.0,19.5,729.0,2025-01-31 09:59:06.836513,39,113.0,303.0,31.700001,100.0,2025-01-31 09:59:06.836521
7.5,1,308.0,19.5,729.0,2025-01-31 09:59:15.763961,40,113.0,303.0,35.299999,100.0,2025-01-31 09:59:15.763969
7.5,1,308.0,19.5,729.0,2025-01-31 09:59:23.435586,41,113.0,303.0,31.700001,100.0,2025-01-31 09:59:23.435593
7.5,1,309.0,19.5,730.0,2025-01-31 09:59:30.779705,42,113.0,303.0,31.700001,100.0,2025-01-31 09:59:30.779713
7.5,1,309.0,19.5,731.0,2025-01-31 09:59:38.762378,43,114.0,304.0,33.099998,100.0,2025-01-31 09:59:38.762386
7.5,1,309.0,19.4,730.0,2025-01-31 09:59:49.822071,44,113.0,303.0,32.599998,100.0,2025-01-31 09:59:49.822079
7.5,1,310.0,19.5,732.0,2025-01-31 10:00:01.505734,45,114.0,304.0,35.200001,100.0,2025-01-31 10:00:01.505743
7.5,1,309.0,19.4,731.0,2025-01-31 10:00:09.214512,46,114.0,304.0,31.6,100.0,2025-01-31 10:00:09.214520
7.5,1,310.0,19.5,731.0,2025-01-31 10:00:20.350354,47,114.0,304.0,33.599998,100.0,2025-01-31 10:00:20.350361
7.5,1,310.0,19.4,733.0,2025-01-31 10:00:28.962200,48,114.0,305.0,35.799999,100.0,2025-01-31 10:00:28.962207
7.5,1,310.0,19.4,732.0,2025-01-31 10:00:37.319604,49,114.0,304.0,34.900002,100.0,2025-01-31 10:00:37.319613
7.5,1,310.0,19.4,732.0,2025-01-31 10:00:49.784389,50,114.0,304.0,31.700001,100.0,2025-01-31 10:00:49.784397
7.5,1,310.0,19.4,732.0,2025-01-31 10:01:00.994634,51,114.0,304.0,31.700001,100.0,2025-01-31 10:01:00.994644
7.5,1,310.0,19.4,733.0,2025-01-31 10:01:08.800617,52,114.0,305.0,34.599998,100.0,2025-01-31 10:01:08.800625
7.5,1,310.0,19.4,733.0,2025-01-31 10:01:18.348486,53,114.0,305.0,31.700001,100.0,2025-01-31 10:01:18.348495
7.5,1,310.0,19.4,733.0,2025-01-31 10:01:27.900840,54,114.0,305.0,34.599998,100.0,2025-01-31 10:01:27.900850
7.5,1,311.0,19.4,734.0,2025-01-31 10:01:39.683317,55,114.0,305.0,33.099998,100.0,2025-01-31 10:01:39.683324
7.5,1,310.0,19.4,733.0,2025-01-31 10:01:49.360583,56,114.0,305.0,34.599998,100.0,2025-01-31 10:01:49.360591
7.5,1,311.0,19.4,734.0,2025-01-31 10:01:58.354604,57,114.0,305.0,31.700001,100.0,2025-01-31 10:01:58.354614
7.5,1,311.0,19.4,735.0,2025-01-31 10:02:06.567694,58,114.0,306.0,32.599998,100.0,2025-01-31 10:02:06.567701
7.5,1,311.0,19.4,735.0,2025-01-31 10:02:14.340555,59,114.0,306.0,33.299999,100.0,2025-01-31 10:02:14.340564
7.5,1,311.0,19.4,734.0,2025-01-31 10:02:22.894921,60,114.0,305.0,33.299999,100.0,2025-01-31 10:02:22.894928
7.5,1,311.0,19.4,735.0,2025-01-31 10:02:31.525547,61,114.0,306.0,31.700001,100.0,2025-01-31 10:02:31.525555
7.5,1,312.0,19.4,736.0,2025-01-31 10:02:41.879699,62,115.0,306.0,33.700001,100.0,2025-01-31 10:02:41.879707
7.6,1,311.0,19.4,735.0,2025-01-31 10:02:50.769102,63,114.0,306.0,33.0,100.0,2025-01-31 10:02:50.769111
7.6,1,311.0,19.4,735.0,2025-01-31 10:02:58.442633,64,114.0,306.0,34.599998,100.0,2025-01-31 10:02:58.442642
7.6,1,312.0,19.4,736.0,2025-01-31 10:03:09.969865,65,115.0,307.0,32.599998,100.0,2025-01-31 10:03:09.969872
7.6,1,312.0,19.4,737.0,2025-01-31 10:03:19.635975,66,115.0,307.0,35.099998,100.0,2025-01-31 10:03:19.635983
7.6,1,312.0,19.4,737.0,2025-01-31 10:03:28.298113,67,115.0,307.0,31.700001,100.0,2025-01-31 10:03:28.298123
7.6,1,312.0,19.4,737.0,2025-01-31 10:03:36.220926,68,115.0,307.0,34.799999,100.0,2025-01-31 10:03:36.220935
7.6,1,312.0,19.4,737.0,2025-01-31 10:03:43.940542,69,115.0,307.0,34.5,100.0,2025-01-31 10:03:43.940550
7.6,1,312.0,19.4,737.0,2025-01-31 10:03:53.240270,70,115.0,307.0,33.299999,100.0,2025-01-31 10:03:53.240282
7.6,1,312.0,19.4,737.0,2025-01-31 10:04:06.595484,71,115.0,307.0,33.900002,100.0,2025-01-31 10:04:06.595491
7.6,1,313.0,19.4,739.0,2025-01-31 10:04:15.583243,72,115.0,308.0,31.700001,100.0,2025-01-31 10:04:15.583254
7.6,1,312.0,19.4,737.0,2025-01-31 10:04:22.617527,73,115.0,307.0,31.700001,100.0,2025-01-31 10:04:22.617534
7.6,1,313.0,19.4,738.0,2025-01-31 10:04:30.929388,74,115.0,307.0,31.700001,100.0,2025-01-31 10:04:30.929397
7.6,1,313.0,19.4,739.0,2025-01-31 10:04:39.352940,75,115.0,308.0,35.900002,100.0,2025-01-31 10:04:39.352948
7.6,1,313.0,19.4,738.0,2025-01-31 10:04:50.725435,76,115.0,307.0,34.5,100.0,2025-01-31 10:04:50.725443
7.6,1,313.0,19.4,738.0,2025-01-31 10:04:58.738119,77,115.0,307.0,32.599998,100.0,2025-01-31 10:04:58.738129
7.6,1,313.0,19.4,739.0,2025-01-31 10:05:07.509328,78,115.0,308.0,32.599998,100.0,2025-01-31 10:05:07.509341
7.6,1,313.0,19.4,739.0,2025-01-31 10:05:16.434886,79,115.0,308.0,33.299999,100.0,2025-01-31 10:05:16.434894
7.6,1,313.0,19.4,739.0,2025-01-31 10:05:24.664734,80,115.0,308.0,31.6,100.0,2025-01-31 10:05:24.664742
